TestID;Bars;FinishingType;Machine1;SelectedRule;Filmnumber;Description;Shape;LongFace;ShortFace;DifficultArtwork;Transparant
MF100400-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF100400;DETO 35;Deksel ovaal;195;138,03;0;1
MF100447-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF100447;Bakje 255ml;Deksel diverse;125,3;74,1;1;0
MF100447-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF100447;Bakje 255ml;Deksel diverse;125,3;74,1;1;1
MF100447-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF100447;Bakje 255ml;Deksel diverse;125,3;74,1;0;0
MF100447-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF100447;Bakje 255ml;Deksel diverse;125,3;74,1;0;1
MF100449-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF100449;EC110-175;Driezijdig;116;71,7;1;0
MF100449-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF100449;EC110-175;Driezijdig;116;71,7;1;1
MF100449-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF100449;EC110-175;Driezijdig;116;71,7;0;0
MF100449-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF100449;EC110-175;Driezijdig;116;71,7;0;1
MF100451-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF100451;M827B - Lunchbox 130 x 90 gestanst;Deksel rechthoekig;130;90,01;1;0
MF100451-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF100451;M827B - Lunchbox 130 x 90 gestanst;Deksel rechthoekig;130;90,01;1;1
MF100451-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF100451;M827B - Lunchbox 130 x 90 gestanst;Deksel rechthoekig;130;90,01;0;0
MF100451-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF100451;M827B - Lunchbox 130 x 90 gestanst;Deksel rechthoekig;130;90,01;0;1
MF100526-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;23;MF100526;C2D 22oz lower label;Banderole ronde pot;218,2;64,4;1;0
MF100526-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;21;MF100526;C2D 22oz lower label;Banderole ronde pot;218,2;64,4;1;1
MF100526-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;25;MF100526;C2D 22oz lower label;Banderole ronde pot;218,2;64,4;0;0
MF100526-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;21;MF100526;C2D 22oz lower label;Banderole ronde pot;218,2;64,4;0;1
MF100527-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF100527;C2D 22oz upper label;Banderole diverse;275,86;89;1;0
MF100527-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF100527;C2D 22oz upper label;Banderole diverse;275,86;89;1;1
MF100527-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF100527;C2D 22oz upper label;Banderole diverse;275,86;89;0;0
MF100527-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF100527;C2D 22oz upper label;Banderole diverse;275,86;89;0;1
MF100556-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF100556;STP FRONT;Diverse;101,79;78,68;1;0
MF100556-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF100556;STP FRONT;Diverse;101,79;78,68;1;1
MF100556-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF100556;STP FRONT;Diverse;101,79;78,68;0;0
MF100556-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF100556;STP FRONT;Diverse;101,79;78,68;0;1
MF100558-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;23;MF100558;STP BACK;Deksel diverse;203,43;102,94;1;0
MF100558-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF100558;STP BACK;Deksel diverse;203,43;102,94;1;1
MF100558-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;25;MF100558;STP BACK;Deksel diverse;203,43;102,94;0;0
MF100558-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF100558;STP BACK;Deksel diverse;203,43;102,94;0;1
MF100570-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;23;MF100570;86-330 BEKER;Banderole ronde pot;232,58;91,05;1;0
MF100570-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF100570;86-330 BEKER;Banderole ronde pot;232,58;91,05;1;1
MF100570-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;25;MF100570;86-330 BEKER;Banderole ronde pot;232,58;91,05;0;0
MF100570-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF100570;86-330 BEKER;Banderole ronde pot;232,58;91,05;0;1
MF100599-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;17;MF100599;185 SQ LID;Deksel rechthoekig;177;177;1;0
MF100599-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_VISION2;12;MF100599;185 SQ LID;Deksel rechthoekig;177;177;1;1
MF100599-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;19;MF100599;185 SQ LID;Deksel rechthoekig;177;177;0;0
MF100599-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_VISION2;12;MF100599;185 SQ LID;Deksel rechthoekig;177;177;0;1
MF100606-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF100606;BQ LNA 5 pét. 175;Vijfzijdig;136,38;102,88;1;0
MF100606-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF100606;BQ LNA 5 pét. 175;Vijfzijdig;136,38;102,88;1;1
MF100606-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF100606;BQ LNA 5 pét. 175;Vijfzijdig;136,38;102,88;0;0
MF100606-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF100606;BQ LNA 5 pét. 175;Vijfzijdig;136,38;102,88;0;1
MF100701-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;29;MF100701;324;Banderole ronde pot;269,71;50;1;0
